SAMPLE	ABBR_CELL_FRAC	TUM_PLOIDY
04-38353T--04-38353N	0.762	2.05897849762412
05-11733T--05-11733N	0.77077	2.02149003114568
05-13982T--05-13982N	0.4052	2.00286994049334
05-18796T--05-18796N	0.2943	3.96901994206651
05-20551T--05-20551N	0.23368	3.95859630336786
06-19179T--06-19179N	0.76076	2.04535860326747
06-23090T--06-23090N	0.90181	1.8646545745217
06-32123T--06-32123N	0.8024	1.9945254718883
07-11855T--07-11855N	0.58174	2.01528078337211
07-20025T--07-20025N	0.61915	2.01168439297141
07-20432T--07-20432N	0.82	1.97106047813984
07-28085T--07-28085N	0.42	2.11293708169551
07-40082T--07-40082N	0.974	1.99993962954443
09-27079T--09-27079N	0.75392	2.01056976009271
09-36389T--09-36389N	0.74533	2.02678722700418
10-17030T--10-17030N	0.74666	1.93927166964011
10-17031T--10-17031N	0.73875	3.98040063525789
10-17838T--10-17838N	0.3381	1.9623965054369
10-20030T--10-20030N	0.3417	2.3669416790978
10-26934T--10-26934N	0.93812	1.99871573580953
10-40390T--10-40390N	0.50862	2.02836846190976
